ID,Code,LongDescription
1,"00170","Anesthesia for intraoral procedures, including biopsy; not otherwise specified"
2,"0016T",""
3,"00164","Anesthesia for procedures on nose and accessory sinuses; biopsy, soft tissue"
4,"00162","Anesthesia for procedures on nose and accessory sinuses; radical surgery"
5,"0017T",""
6,"00160","Anesthesia for procedures on nose and accessory sinuses; not otherwise specified"
7,"0015F","Melan follow-up complete"
8,"0014F","Comp preop assess cat surg"
9,"0019T","Extracorp shock wv tx ms nos"
10,"00148","Anesthesia for procedures on eye; ophthalmoscopy"
11,"00147","Anesthesia for procedures on eye; iridectomy"
12,"00145","Anesthesia for procedures on eye; vitreoretinal surgery"
13,"00144","Anesthesia for procedures on eye; corneal transplant"
14,"00142","Anesthesia for procedures on eye; lens surgery"
15,"00140","Anesthesia for procedures on eye; not otherwise specified"
16,"0012F","Cap bacterial assess"
17,"00126","Anesthesia for procedures on external, middle, and inner ear including biopsy; tympanotomy"
18,"00124","Anesthesia for procedures on external, middle, and inner ear including biopsy; otoscopy"
19,"00120","Anesthesia for procedures on external, middle, and inner ear including biopsy; not otherwise specified"
20,"00104","Anesthesia for electroconvulsive therapy"
21,"00103","Anesthesia for reconstructive procedures of eyelid (eg, blepharoplasty, ptosis surgery)"
22,"00102","Anesthesia for procedures involving plastic repair of cleft lip"
23,"00100","Anesthesia for procedures on salivary glands, including biopsy"
24,"0005F","Osteoarthritis composite"
25,"0001F","Heart failure composite"
26,"0030T","Antiprothrombin antibody"
27,"00172","Anesthesia for intraoral procedures, including biopsy; repair of cleft palate"
28,"00320","Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; not otherwise specified, age 1 year or older"
29,"00322","Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; needle biopsy of thyroid"
30,"00326","Anesthesia for all procedures on the larynx and trachea in children younger than 1 year of age"
31,"0032T","Speculoscopy; with directed sampling"
32,"00350","Anesthesia for procedures on major vessels of neck; not otherwise specified"
33,"00352","Anesthesia for procedures on major vessels of neck; simple ligation"
34,"00400","Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; not otherwise specified"
35,"00402","Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; reconstructive procedures on breast (eg, reduction or augmentation mammoplasty, muscle flaps)"
36,"00404","Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast"
37,"00174","Anesthesia for intraoral procedures, including biopsy; excision of retropharyngeal tumor"
38,"00176","Anesthesia for intraoral procedures, including biopsy; radical surgery"
39,"0041T","Urinalysis infectious agent detection, semi-quantitative analysis of volatile compounds"
40,"0042T","Ct perfusion w/contrast cbf"
41,"0043T","Carbon monoxide, expired gas analysis (eg, ETCOc/hemolysis breath test)"
42,"0018T","Delivery of high power, focal magnetic pulses for direct stimulation to cortical neurons"
43,"00190","Anesthesia for procedures on facial bones or skull; not otherwise specified"
44,"00192","Anesthesia for procedures on facial bones or skull; radical surgery (including prognathism)"
45,"00210","Anesthesia for intracranial procedures; not otherwise specified"
46,"00211","Anesthesia for intracranial procedures; craniotomy or craniectomy for evacuation of hematoma"
47,"0046T","Catheter lavage of a mammary duct(s) for collection of cytology specimen(s), in high risk individuals (GAIL risk scoring or prior personal history of breast cancer), each breast; single duct"
48,"00212","Anesthesia for intracranial procedures; subdural taps"
49,"00214","Anesthesia for intracranial procedures; burr holes, including ventriculography"
50,"00215","Anesthesia for intracranial procedures; cranioplasty or elevation of depressed skull fracture, extradural (simple or compound)"
51,"0047T","Catheter lavage of a mammary duct(s) for collection of cytology specimen(s), in high risk individuals (GAIL risk scoring or prior personal history of breast cancer), each breast; each additional duct"
52,"0048T","Implant ventricular device"
53,"0049T","Prolonged extracorporeal percutaneous transseptal ventricular assist device, greater than 24 hours, each subsequent 24 hour period (List separately in addition to code for primary procedure)"
54,"00216","Anesthesia for intracranial procedures; vascular procedures"
55,"0050T","Removal circulation assist"
56,"00218","Anesthesia for intracranial procedures; procedures in sitting position"
57,"0021T","Insertion of transcervical or transvaginal fetal oximetry sensor"
58,"00220","Anesthesia for intracranial procedures; cerebrospinal fluid shunting procedures"
59,"00222","Anesthesia for intracranial procedures; electrocoagulation of intracranial nerve"
60,"0008T","Upper gastrointestinal endoscopy including esophagus, stomach, and either the duodenum and/or jejunum as appropriate, with suturing of the esophagogastric junction"
61,"00300","Anesthesia for all procedures on the integumentary system, muscles and nerves of head, neck, and posterior trunk, not otherwise specified"
62,"0003T","Cervicography"
63,"0024T","NON-SURGICAL SEPTAL REDUCTION THERAPY (EG, ALCOHOL ABLATION), FOR HYPERTROPHIC OBSTRUCTIVE CARDIOMYOPATHY, WITH CORONARY ARTERIOGRAMS, WITH OR WITHOUT TEMPORARY PACEMAKER"
64,"0026T","Lipoprotein, direct measurement, intermediate density lipoproteins (IDL) (remnant lipoproteins)"
65,"0027T","Endoscopic lysis of epidural adhesions with direct visualization using mechanical means (eg, spinal endoscopic catheter system) or solution injection (eg, normal saline) including radiologic localization and epidurography"
66,"0028T","Dual energy x-ray absorptiometry (DEXA) body composition study, one or more sites"
67,"0029T","Treatment(s) for incontinence, pulsed magnetic neuromodulation, per day"
68,"0031T","Speculoscopy;"
69,"00406","Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast with internal mammary node dissection"
70,"00541","Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); utilizing 1 lung ventilation"
71,"00542","Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); decortication"
72,"00546","Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); pulmonary resection with thoracoplasty"
73,"00410","Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; electrical conversion of arrhythmias"
74,"0054T","Bone surgery using computer"
75,"0044T","Whole body integumentary photography, at request of a physician, for monitoring of high-risk patients; with dysplastic nevus syndrome or familial melanoma"
76,"0055T","Bone surgery using computer"
77,"00450","Anesthesia for procedures on clavicle and scapula; not otherwise specified"
78,"00452","Anesthesia for procedures on clavicle and scapula; radical surgery"
79,"00454","Anesthesia for procedures on clavicle and scapula; biopsy of clavicle"
80,"0045T","Whole body integumentary photography, at request of a physician, for monitoring of high-risk patients; with history of dysplastic nevi or personal history of melanoma"
81,"00470","Anesthesia for partial rib resection; not otherwise specified"
82,"00472","Anesthesia for partial rib resection; thoracoplasty (any type)"
83,"00474","Anesthesia for partial rib resection; radical procedures (eg, pectus excavatum)"
84,"00500","Anesthesia for all procedures on esophagus"
85,"0058T","Cryopreservation ovary tiss"
86,"0059T","Cryopreservation oocyte"
87,"0051T","Implant total heart system"
88,"00520","Anesthesia for closed chest procedures; (including bronchoscopy) not otherwise specified"
89,"00522","Anesthesia for closed chest procedures; needle biopsy of pleura"
90,"00524","Anesthesia for closed chest procedures; pneumocentesis"
91,"00528","Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy not utilizing 1 lung ventilation"
92,"00532","Anesthesia for access to central venous circulation"
93,"00534","Anesthesia for transvenous insertion or replacement of pacing cardioverter-defibrillator"
94,"00537","Anesthesia for cardiac electrophysiologic procedures including radiofrequency ablation"
95,"00539","Anesthesia for tracheobronchial reconstruction"
96,"0053T","Replace component heart syst"
97,"00529","Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy utilizing 1 lung ventilation"
98,"0052T","Replace component heart syst"
99,"00530","Anesthesia for permanent transvenous pacemaker insertion"
100,"00540","Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); not otherwise specified"
101,"00548","Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); intrathoracic procedures on the trachea and bronchi"
102,"00550","Anesthesia for sternal debridement"
103,"0065T","OCULAR PHOTOSCREENING, WITH INTERPRETATION AND REPORT, BILATERAL"
104,"00560","Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; without pump oxygenator"
105,"00670","Anesthesia for extensive spine and spinal cord procedures (eg, spinal instrumentation or vascular procedures)"
106,"00561","Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, younger than 1 year of age"
